meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1288,11315,2026-06-28T12:20:00+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1288,11315,2026-06-28T12:20:36+00:00,,1,Flag,DOUBLE YELLOW,Sector,3,,DOUBLE YELLOW IN TRACK SECTOR 3
1288,11315,2026-06-28T12:20:42+00:00,,1,Flag,CLEAR,Sector,3,,CLEAR IN TRACK SECTOR 3
1288,11315,2026-06-28T12:20:51+00:00,,1,Flag,DOUBLE YELLOW,Sector,3,,DOUBLE YELLOW IN TRACK SECTOR 3
1288,11315,2026-06-28T12:20:55+00:00,,1,Flag,CLEAR,Sector,3,,CLEAR IN TRACK SECTOR 3
1288,11315,2026-06-28T12:26:59+00:00,,1,Other,,,,,INCIDENT INVOLVING CAR 30 (LAW) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT (14:23:37)
1288,11315,2026-06-28T12:28:44+00:00,,1,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 30 (LAW) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT (14:23:37)
1288,11315,2026-06-28T12:30:00+00:00,,1,Other,,,,,PIT EXIT CLOSED
1288,11315,2026-06-28T12:30:48+00:00,,1,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 81 (PIA) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1288,11315,2026-06-28T12:31:03+00:00,,1,Flag,YELLOW,Sector,14,,YELLOW IN TRACK SECTOR 14
1288,11315,2026-06-28T12:31:12+00:00,,1,Flag,CLEAR,Sector,14,,CLEAR IN TRACK SECTOR 14
1288,11315,2026-06-28T12:32:17+00:00,,1,Flag,YELLOW,Sector,14,,YELLOW IN TRACK SECTOR 14
1288,11315,2026-06-28T12:32:59+00:00,,1,Flag,CLEAR,Sector,14,,CLEAR IN TRACK SECTOR 14
1288,11315,2026-06-28T12:33:25+00:00,,1,Flag,YELLOW,Sector,14,,YELLOW IN TRACK SECTOR 14
1288,11315,2026-06-28T12:33:59+00:00,,1,Flag,CLEAR,Sector,14,,CLEAR IN TRACK SECTOR 14
1288,11315,2026-06-28T12:51:54+00:00,,1,Other,,,,,RISK OF RAIN FOR THE F1 RACE IS 10%
1288,11315,2026-06-28T12:57:21+00:00,,1,Other,,,,,OVERTAKE DISABLED
1288,11315,2026-06-28T13:03:19.728000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1288,11315,2026-06-28T13:03:18+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1288,11315,2026-06-28T13:04:24+00:00,,1,Other,,,,,OVERTAKE ENABLED
1288,11315,2026-06-28T13:06:16+00:00,,3,Other,,,,,TURN 1 INCIDENT INVOLVING CAR 12 (ANT) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:28)
1288,11315,2026-06-28T13:06:47+00:00,,3,Other,,,,,TURN 3 INCIDENT INVOLVING CAR 12 (ANT) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:42)
1288,11315,2026-06-28T13:07:42+00:00,,4,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 81 (PIA) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1288,11315,2026-06-28T13:07:46+00:00,,4,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 12 (ANT) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:28)
1288,11315,2026-06-28T13:08:27+00:00,,5,Other,,,,,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CAR 12 (ANT) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:03:42)
1288,11315,2026-06-28T13:08:44+00:00,,5,Other,,,,,TURN 5 INCIDENT INVOLVING CARS 5 (BOR) AND 10 (GAS) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK (15:05:16)
1288,11315,2026-06-28T13:09:15+00:00,,5,Other,,,,,CAR 12 (ANT) TIME 1:14.216 DELETED - TRACK LIMITS AT TURN 1 LAP 2 15:04:42
1288,11315,2026-06-28T13:09:51+00:00,,6,Other,,,,,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 5 (BOR) AND 10 (GAS) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK (15:05:16)
1288,11315,2026-06-28T13:10:19+00:00,,6,Other,,,,,CAR 44 (HAM) TIME 1:12.028 DELETED - TRACK LIMITS AT TURN 1 LAP 2 15:04:42
1288,11315,2026-06-28T13:11:11+00:00,,7,Other,,,,,CAR 44 (HAM) TIME 1:12.028 WILL BE REINSTATED
1288,11315,2026-06-28T13:11:19+00:00,,7,Other,,,,,CAR 16 (LEC) TIME 1:14.142 DELETED - TRACK LIMITS AT TURN 1 LAP 2 15:04:42
1288,11315,2026-06-28T13:12:35+00:00,,8,Other,,,,,CAR 18 (STR) TIME 1:15.590 DELETED - TRACK LIMITS AT TURN 1 LAP 7 15:11:08
1288,11315,2026-06-28T13:13:45+00:00,,9,Other,,,,,CAR 1 (NOR) TIME 1:13.459 DELETED - TRACK LIMITS AT TURN 9 LAP 7 15:11:45
1288,11315,2026-06-28T13:13:54+00:00,,9,Other,,,,,INCIDENT INVOLVING CAR 11 (PER) NOTED - FALSE START - MOVING BEFORE SIGNAL (15:03:09)
1288,11315,2026-06-28T13:16:49+00:00,,12,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 11 (PER) WILL BE INVESTIGATED AFTER THE RACE - FALSE START - MOVING BEFORE SIGNAL (15:03:09)
1288,11315,2026-06-28T13:19:17+00:00,,14,Other,,,,,CAR 3 (VER) TIME 1:14.413 DELETED - TRACK LIMITS AT TURN 6 LAP 11 15:16:15
1288,11315,2026-06-28T13:20:50+00:00,,15,Other,,,,,TURN 6 INCIDENT INVOLVING CARS 44 (HAM) AND 3 (VER) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK (15:16:15)
1288,11315,2026-06-28T13:28:02+00:00,,21,Other,,,,,FIA STEWARDS: TURN 6 INCIDENT INVOLVING CARS 44 (HAM) AND 3 (VER) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK (15:16:15)
1288,11315,2026-06-28T13:29:45+00:00,,22,Other,,,,,CAR 23 (ALB) TIME 1:31.904 DELETED - TRACK LIMITS AT TURN 3 LAP 19 15:26:37
