meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1289,11322,77,1,,,41.947,28.706,268,235,True,,"[None, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2051, 2051, 2049, 2049]","[2051, 2051, 2051, 2049, 2051, 2049, 2051, 2051, 2051, 2051]",254
1289,11322,11,1,2026-07-04T15:00:08.047000+00:00,,40.844,28.627,254,236,True,,"[2064, 2064, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2051, 2051]",251
1289,11322,55,1,2026-07-04T15:00:14.388000+00:00,,41.649,28.48,233,240,True,,"[2064, 2064, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2051, 2051, 2051, 2051]",250
1289,11322,31,1,2026-07-04T15:00:20.107000+00:00,,43.689,28.959,265,237,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]",249
1289,11322,87,1,2026-07-04T15:00:26.529000+00:00,,41.581,29.558,268,243,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",228
1289,11322,18,1,2026-07-04T15:00:31.498000+00:00,,42.253,30.308,239,234,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",244
1289,11322,5,1,2026-07-04T15:00:37.091000+00:00,,44.964,31.12,232,232,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2064, 2064, 2064, 2064, 2064]",228
1289,11322,14,1,2026-07-04T15:00:47.248000+00:00,,44.337,30.546,247,230,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",242
1289,11322,41,1,2026-07-04T15:00:56.163000+00:00,,42.259,28.27,255,228,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2051, 2049, 2049]",239
1289,11322,30,1,2026-07-04T15:01:02.682000+00:00,,42.334,28.979,243,238,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]",250
1289,11322,27,1,2026-07-04T15:01:12.638000+00:00,,42.294,31.044,245,232,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",245
1289,11322,23,1,2026-07-04T15:01:17.607000+00:00,,41.297,28.51,259,232,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051]",255
1289,11322,16,1,2026-07-04T15:01:22.326000+00:00,,45.469,28.494,249,216,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",277
1289,11322,44,1,2026-07-04T15:01:31.013000+00:00,,46.987,30.318,281,233,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",274
1289,11322,77,2,2026-07-04T15:01:47.738000+00:00,32.747,43.457,30.809,292,233,False,107.013,"[2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2064, 2064, 2064, 2064, 2064]",277
1289,11322,11,2,2026-07-04T15:01:54.019000+00:00,29.271,37.471,25.457,303,261,False,92.199,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 2051, 2049, 2051, 2049]",303
1289,11322,55,2,2026-07-04T15:02:02.832000+00:00,30.914,37.438,25.108,285,265,False,93.46,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2049, 2051, 2051, 2051, 2048, 2049, 2048]",315
1289,11322,31,2,2026-07-04T15:02:12.297000+00:00,29.263,36.963,25.422,295,264,False,91.648,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",297
1289,11322,87,2,2026-07-04T15:02:16.860000+00:00,29.279,36.8,25.236,293,264,False,91.315,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2051, 2049, 2051, 2049, 2049]",300
1289,11322,18,2,2026-07-04T15:02:25.938000+00:00,29.667,38.045,26.123,287,258,False,93.835,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",291
1289,11322,14,2,2026-07-04T15:02:42.359000+00:00,29.753,40.02,31.258,283,223,False,101.031,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064, 2064]",196
1289,11322,41,2,2026-07-04T15:02:48.515000+00:00,29.134,36.841,26.4,305,267,False,92.375,"[2051, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2064, 2064, 2064, 2064, 2064]",303
1289,11322,30,2,2026-07-04T15:02:59.979000+00:00,28.775,36.369,27.692,304,267,False,92.836,"[2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2048, 2048, 2048, 2048, 2048]",302
1289,11322,27,2,2026-07-04T15:03:07.776000+00:00,29.278,37.002,25.228,295,261,False,91.508,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]",297
1289,11322,23,2,2026-07-04T15:03:14.910000+00:00,28.836,36.989,27.115,297,244,False,92.94,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2064, 2064, 2064, 2064, 2064]",285
1289,11322,16,2,2026-07-04T15:03:24.035000+00:00,28.818,36.169,24.547,294,267,False,89.534,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2051, 2051, 2051, 2051, 2049, 2049, 2048]",307
1289,11322,11,3,2026-07-04T15:03:26.222000+00:00,32.78,40.797,28.934,256,236,False,102.511,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064, 2064]",272
1289,11322,55,3,2026-07-04T15:03:36.666000+00:00,34.588,41.132,26.439,262,233,False,102.159,"[2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064, 2064]",281
1289,11322,44,2,2026-07-04T15:03:38.948000+00:00,28.666,36.171,24.807,293,261,False,89.644,"[2049, 2049, 2051, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",300
1289,11322,1,1,2026-07-04T15:03:41.292000+00:00,,40.229,27.298,254,243,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",259
1289,11322,31,3,2026-07-04T15:03:43.854000+00:00,34.666,42.552,28.626,231,242,False,105.844,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064, 2064]",278
1289,11322,3,1,2026-07-04T15:03:46.682000+00:00,,43.127,28.978,271,230,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",257
1289,11322,87,3,2026-07-04T15:03:48.104000+00:00,33.615,40.89,28.428,261,242,False,102.933,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064, 2064]",283
1289,11322,6,1,2026-07-04T15:03:53.635000+00:00,,42.758,29.729,244,196,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",240
1289,11322,18,3,2026-07-04T15:03:59.667000+00:00,34.822,45.35,28.942,203,223,False,109.114,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064, 2064]",250
1289,11322,43,1,2026-07-04T15:04:06.687000+00:00,,45.382,29.245,209,193,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",252
1289,11322,81,1,2026-07-04T15:04:09.576000+00:00,,44.25,33.039,253,125,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",212
1289,11322,10,1,2026-07-04T15:04:16.326000+00:00,,47.087,31.251,268,172,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",234
1289,11322,30,3,2026-07-04T15:04:33.263000+00:00,31.577,39.518,26.904,277,243,False,97.999,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064, 2064]",286
