position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,3,24,False,False,False,107.07,0,1290,11327
2,44,22,False,False,False,107.215,0.145,1290,11327
3,16,22,False,False,False,107.277,0.207,1290,11327
4,6,23,False,False,False,107.322,0.252,1290,11327
5,81,21,False,False,False,107.522,0.452,1290,11327
6,12,23,False,False,False,107.603,0.533,1290,11327
7,1,19,False,False,False,107.931,0.861,1290,11327
8,63,22,False,False,False,107.959,0.889,1290,11327
9,41,24,False,False,False,108.234,1.164,1290,11327
10,5,18,False,False,False,108.406,1.336,1290,11327
11,30,24,False,False,False,108.432,1.362,1290,11327
12,27,23,False,False,False,108.962,1.892,1290,11327
13,87,21,False,False,False,109.01,1.94,1290,11327
14,23,24,False,False,False,109.337,2.267,1290,11327
15,43,23,False,False,False,109.403,2.333,1290,11327
16,31,21,False,False,False,109.449,2.379,1290,11327
17,10,23,False,False,False,109.712,2.642,1290,11327
18,77,21,False,False,False,109.839,2.769,1290,11327
19,11,22,False,False,False,110.226,3.156,1290,11327
20,55,25,False,False,False,110.862,3.792,1290,11327
21,18,19,False,False,False,112.808,5.738,1290,11327
22,34,22,False,False,False,113.199,6.129,1290,11327
