meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1290,11327,5,55,17,25,MEDIUM,11
1290,11327,1,55,1,1,MEDIUM,0
1290,11327,4,11,16,22,SOFT,5
1290,11327,4,23,16,24,SOFT,5
1290,11327,4,63,20,22,SOFT,0
1290,11327,3,41,17,24,MEDIUM,9
1290,11327,5,31,18,21,SOFT,0
1290,11327,5,87,18,21,SOFT,3
1290,11327,4,43,14,23,SOFT,0
1290,11327,3,44,15,22,SOFT,5
1290,11327,4,3,22,24,SOFT,3
1290,11327,1,3,1,7,MEDIUM,0
1290,11327,3,16,15,22,MEDIUM,9
1290,11327,4,12,21,23,SOFT,3
1290,11327,3,6,13,23,SOFT,5
1290,11327,3,5,14,18,SOFT,4
1290,11327,1,6,1,7,SOFT,0
1290,11327,4,77,15,21,HARD,10
1290,11327,4,30,16,24,MEDIUM,10
1290,11327,4,81,15,21,MEDIUM,11
1290,11327,3,34,13,22,SOFT,0
1290,11327,4,10,15,23,HARD,10
1290,11327,3,27,13,23,HARD,8
1290,11327,4,18,17,19,SOFT,6
1290,11327,4,1,9,19,SOFT,0
1290,11327,2,30,6,10,MEDIUM,0
1290,11327,3,1,3,8,SOFT,0
1290,11327,3,55,9,11,MEDIUM,7
1290,11327,2,23,2,10,MEDIUM,0
1290,11327,3,63,14,19,MEDIUM,0
