date,session_key,lane_duration,lap_number,meeting_key,pit_duration,stop_duration,driver_number
2026-07-18T10:33:26.209000+00:00,11329,,1,1290,,,43
2026-07-18T10:33:28.975000+00:00,11329,,1,1290,,,77
2026-07-18T10:33:32.661000+00:00,11329,,1,1290,,,11
2026-07-18T10:34:02.683000+00:00,11329,,1,1290,,,6
2026-07-18T10:34:13.007000+00:00,11329,,1,1290,,,31
2026-07-18T10:34:19.809000+00:00,11329,,1,1290,,,87
2026-07-18T10:36:18.123000+00:00,11329,,1,1290,,,10
2026-07-18T10:36:41.961000+00:00,11329,,1,1290,,,41
2026-07-18T10:36:50.226000+00:00,11329,,1,1290,,,30
2026-07-18T10:37:56.090000+00:00,11329,,1,1290,,,81
2026-07-18T10:38:46.452000+00:00,11329,,1,1290,,,1
2026-07-18T10:38:55.608000+00:00,11329,,1,1290,,,27
2026-07-18T10:38:59.908000+00:00,11329,,1,1290,,,14
2026-07-18T10:39:10.790000+00:00,11329,,1,1290,,,44
2026-07-18T10:41:30.460000+00:00,11329,,1,1290,,,5
2026-07-18T10:41:43.672000+00:00,11329,,1,1290,,,18
2026-07-18T10:42:08.119000+00:00,11329,48.5,4,1290,48.5,,87
2026-07-18T10:42:30.493000+00:00,11329,,1,1290,,,23
2026-07-18T10:42:38.178000+00:00,11329,,1,1290,,,55
2026-07-18T10:45:20.950000+00:00,11329,,1,1290,,,16
2026-07-18T10:48:26.575000+00:00,11329,18.1,4,1290,18.1,,5
2026-07-18T10:48:52.918000+00:00,11329,,1,1290,,,3
2026-07-18T10:51:00.520000+00:00,11329,19.9,6,1290,19.9,,27
2026-07-18T10:52:11.428000+00:00,11329,,1,1290,,,63
2026-07-18T10:53:03.058000+00:00,11329,191.7,7,1290,191.7,,30
2026-07-18T10:53:11.183000+00:00,11329,194.9,7,1290,194.9,,41
2026-07-18T10:53:14.652000+00:00,11329,353.8,7,1290,353.8,,6
2026-07-18T10:53:21.004000+00:00,11329,297.7,8,1290,297.7,,11
2026-07-18T10:53:42.521000+00:00,11329,,1,1290,,,12
2026-07-18T10:54:07.274000+00:00,11329,506.9,6,1290,506.9,,31
2026-07-18T10:54:18.048000+00:00,11329,333.6,6,1290,333.6,,81
2026-07-18T10:54:24.235000+00:00,11329,334.7,7,1290,334.7,,87
2026-07-18T10:55:28.810000+00:00,11329,32.4,7,1290,32.4,,5
2026-07-18T10:55:40.966000+00:00,11329,500.1,8,1290,500.1,,6
2026-07-18T10:57:55.298000+00:00,11329,794.8,6,1290,794.8,,43
2026-07-18T10:57:59.603000+00:00,11329,290.8,6,1290,290.8,,23
2026-07-18T10:58:05.936000+00:00,11329,455.9,6,1290,455.9,,44
2026-07-18T10:58:24.281000+00:00,11329,388.8,8,1290,388.8,,10
2026-07-18T10:58:32.031000+00:00,11329,490.6,6,1290,490.6,,14
2026-07-18T10:58:37.660000+00:00,11329,364.6,6,1290,364.6,,18
2026-07-18T10:59:01.112000+00:00,11329,343.9,6,1290,343.9,,55
2026-07-18T11:00:42.741000+00:00,11329,748.1,8,1290,748.1,,77
2026-07-18T11:03:27.110000+00:00,11329,283.9,4,1290,283.9,,63
2026-07-18T11:05:55.609000+00:00,11329,350.2,4,1290,350.2,,12
2026-07-18T11:08:23.659000+00:00,11329,17.4,15,1290,17.4,,30
2026-07-18T11:08:37.346000+00:00,11329,17.4,15,1290,17.4,,41
2026-07-18T11:12:34.377000+00:00,11329,571.9,7,1290,571.9,,3
2026-07-18T11:12:40.448000+00:00,11329,616.9,12,1290,616.9,,27
2026-07-18T11:13:03.848000+00:00,11329,216.7,7,1290,216.7,,63
2026-07-18T11:13:07.660000+00:00,11329,334.3,13,1290,334.3,,81
2026-07-18T11:13:43.388000+00:00,11329,498.7,14,1290,498.7,,1
2026-07-18T11:14:37.766000+00:00,11329,842.1,8,1290,842.1,,16
2026-07-18T11:15:42.298000+00:00,11329,216.4,7,1290,216.4,,12
2026-07-18T11:15:49.560000+00:00,11329,280.3,13,1290,280.3,,23
2026-07-18T11:15:52.809000+00:00,11329,324.1,16,1290,324.1,,41
2026-07-18T11:15:58.252000+00:00,11329,340.6,16,1290,340.6,,30
2026-07-18T11:16:00.856000+00:00,11329,490.4,10,1290,490.4,,14
2026-07-18T11:16:02.228000+00:00,11329,489.1,10,1290,489.1,,18
2026-07-18T11:18:13.746000+00:00,11329,405.3,15,1290,405.3,,31
2026-07-18T11:18:23.975000+00:00,11329,385.9,16,1290,385.9,,87
2026-07-18T11:18:53.725000+00:00,11329,299.2,12,1290,299.2,,6
2026-07-18T11:19:20.116000+00:00,11329,472.5,13,1290,472.5,,44
2026-07-18T11:19:36.975000+00:00,11329,26.0,15,1290,26.0,,27
2026-07-18T11:19:45.959000+00:00,11329,870.6,12,1290,870.6,,5
2026-07-18T11:19:54.881000+00:00,11329,737.9,15,1290,737.9,,11
2026-07-18T11:20:53.980000+00:00,11329,24.0,11,1290,24.0,,16
2026-07-18T11:20:57.945000+00:00,11329,408.2,14,1290,408.2,,55
2026-07-18T11:21:05.945000+00:00,11329,404.0,16,1290,404.0,,10
2026-07-18T11:21:16.445000+00:00,11329,356.9,15,1290,356.9,,43
2026-07-18T11:21:22.724000+00:00,11329,291.6,16,1290,291.6,,77
2026-07-18T11:21:57.169000+00:00,11329,146.0,10,1290,146.0,,63
2026-07-18T11:25:22.090000+00:00,11329,195.6,19,1290,195.6,,30
2026-07-18T11:25:26.777000+00:00,11329,193.7,19,1290,193.7,,41
2026-07-18T11:25:36.058000+00:00,11329,407.1,10,1290,407.1,,3
2026-07-18T11:26:48.574000+00:00,11329,265.9,16,1290,265.9,,23
2026-07-18T11:26:56.730000+00:00,11329,29.7,15,1290,29.7,,5
2026-07-18T11:28:36.087000+00:00,11329,156.2,18,1290,156.2,,27
2026-07-18T11:28:55.261000+00:00,11329,318.9,18,1290,318.9,,81
2026-07-18T11:29:12.933000+00:00,11329,294.6,19,1290,294.6,,1
2026-07-18T11:29:14.027000+00:00,11329,137.1,15,1290,137.1,,14
2026-07-18T11:29:49.569000+00:00,11329,312.6,11,1290,312.6,,12
