date,session_key,gap_to_leader,interval,meeting_key,driver_number
2026-07-19T12:08:05.994000+00:00,11334,0.0,0.0,1290,12
2026-07-19T12:08:09.649000+00:00,11334,0.0,0.0,1290,12
2026-07-19T13:03:58.621000+00:00,11334,0.121,0.121,1290,3
2026-07-19T13:03:58.860000+00:00,11334,0.365,0.244,1290,63
2026-07-19T13:03:58.898000+00:00,11334,0.375,0.01,1290,16
2026-07-19T13:03:59.137000+00:00,11334,0.615,0.24,1290,44
2026-07-19T13:03:59.201000+00:00,11334,0.696,0.081,1290,81
2026-07-19T13:03:59.573000+00:00,11334,1.066,0.37,1290,41
2026-07-19T13:03:59.745000+00:00,11334,1.172,,1290,30
2026-07-19T13:03:59.888000+00:00,11334,1.368,0.302,1290,5
2026-07-19T13:04:00.009000+00:00,11334,1.475,,1290,43
2026-07-19T13:04:00.111000+00:00,11334,1.573,0.401,1290,10
2026-07-19T13:04:00.206000+00:00,11334,1.669,,1290,1
2026-07-19T13:04:00.404000+00:00,11334,1.889,,1290,23
2026-07-19T13:04:00.420000+00:00,11334,1.916,0.441,1290,27
2026-07-19T13:04:00.481000+00:00,11334,1.954,0.285,1290,87
2026-07-19T13:04:00.645000+00:00,11334,2.145,0.256,1290,31
2026-07-19T13:04:00.886000+00:00,11334,2.392,,1290,55
2026-07-19T13:04:01.039000+00:00,11334,2.524,0.379,1290,77
2026-07-19T13:04:01.121000+00:00,11334,2.61,0.086,1290,11
2026-07-19T13:04:01.355000+00:00,11334,2.846,,1290,6
2026-07-19T13:04:01.535000+00:00,11334,3.021,0.175,1290,14
2026-07-19T13:04:01.560000+00:00,11334,3.068,0.676,1290,18
2026-07-19T13:04:05.053000+00:00,11334,0.262,0.262,1290,3
2026-07-19T13:04:05.346000+00:00,11334,0.532,0.27,1290,63
2026-07-19T13:04:05.538000+00:00,11334,0.728,0.196,1290,16
2026-07-19T13:04:05.680000+00:00,11334,0.864,0.136,1290,44
2026-07-19T13:04:05.856000+00:00,11334,1.048,0.184,1290,81
2026-07-19T13:04:06.364000+00:00,11334,1.559,0.511,1290,41
2026-07-19T13:04:06.493000+00:00,11334,1.704,0.145,1290,30
2026-07-19T13:04:06.710000+00:00,11334,1.922,0.218,1290,43
2026-07-19T13:04:06.903000+00:00,11334,2.09,0.168,1290,5
2026-07-19T13:04:07.083000+00:00,11334,2.267,0.177,1290,10
2026-07-19T13:04:07.116000+00:00,11334,2.315,0.048,1290,1
2026-07-19T13:04:07.390000+00:00,11334,2.598,0.283,1290,87
2026-07-19T13:04:07.474000+00:00,11334,2.639,0.041,1290,23
2026-07-19T13:04:07.786000+00:00,11334,2.996,0.357,1290,27
