meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1292,11348,63,1,2026-08-22T10:03:10.076000+00:00,30.529,26.476,22.836,282,278,False,79.841,"[None, 2051, 2051, 2051, 2049, 2051, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2051, 2051, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",214
1292,11348,1,1,2026-08-22T10:03:10.076000+00:00,31.198,26.976,22.808,296,291,False,80.982,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2049, 2049, 2051]",220
1292,11348,16,1,2026-08-22T10:03:10.076000+00:00,31.271,27.486,22.753,298,292,False,81.51,"[None, 2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2051, 2051]",219
1292,11348,12,1,2026-08-22T10:03:10.076000+00:00,31.813,27.491,22.929,287,287,False,82.233,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",229
1292,11348,81,1,2026-08-22T10:03:10.076000+00:00,32.074,27.619,23.123,298,298,False,82.816,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051]",219
1292,11348,3,1,2026-08-22T10:03:10.076000+00:00,32.412,27.421,23.42,290,301,False,83.253,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",226
1292,11348,44,1,2026-08-22T10:03:10.076000+00:00,32.956,27.649,23.229,287,291,False,83.834,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",229
1292,11348,10,1,2026-08-22T10:03:10.076000+00:00,33.358,27.941,23.305,282,294,False,84.604,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",198
1292,11348,5,1,2026-08-22T10:03:10.076000+00:00,33.535,28.27,23.289,300,287,False,85.094,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",203
1292,11348,41,1,2026-08-22T10:03:10.076000+00:00,33.976,28.451,23.692,297,301,False,86.119,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",209
1292,11348,30,1,2026-08-22T10:03:10.076000+00:00,34.104,28.418,24.153,282,292,False,86.675,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",211
1292,11348,43,1,2026-08-22T10:03:10.076000+00:00,34.312,28.864,23.775,278,289,False,86.951,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",201
1292,11348,22,1,2026-08-22T10:03:10.076000+00:00,34.588,28.966,23.896,285,270,False,87.45,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",205
1292,11348,31,1,2026-08-22T10:03:10.076000+00:00,34.89,28.995,24.002,275,263,False,87.887,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",226
1292,11348,87,1,2026-08-22T10:03:10.076000+00:00,35.088,29.188,24.201,276,266,False,88.477,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",203
