date,session_key,rainfall,wind_direction,meeting_key,wind_speed,track_temperature,air_temperature,humidity,pressure
2026-08-22T09:18:57.494000+00:00,11348,0,144,1292,0.6,24.5,18.2,60.1,1018.7
2026-08-22T09:19:57.497000+00:00,11348,0,56,1292,2.2,25.1,18.2,59.4,1018.6
2026-08-22T09:20:57.531000+00:00,11348,0,16,1292,4.0,24.4,18.2,60.3,1018.5
2026-08-22T09:21:57.515000+00:00,11348,0,99,1292,0.7,24.6,18.1,59.8,1018.7
2026-08-22T09:22:57.527000+00:00,11348,0,32,1292,1.5,24.9,18.0,59.3,1018.7
2026-08-22T09:23:57.525000+00:00,11348,0,52,1292,2.3,24.4,17.9,59.3,1018.7
2026-08-22T09:24:57.548000+00:00,11348,0,84,1292,0.4,25.3,17.9,60.0,1018.7
2026-08-22T09:25:57.546000+00:00,11348,0,82,1292,1.3,26.4,17.9,61.1,1018.7
2026-08-22T09:26:57.541000+00:00,11348,0,39,1292,3.1,27.1,17.8,61.7,1018.7
2026-08-22T09:27:57.541000+00:00,11348,0,95,1292,4.5,26.2,17.9,62.0,1018.8
2026-08-22T09:28:57.555000+00:00,11348,0,115,1292,2.1,25.3,18.0,62.2,1018.5
2026-08-22T09:29:57.586000+00:00,11348,0,47,1292,4.7,24.6,18.0,63.5,1018.8
2026-08-22T09:30:57.596000+00:00,11348,0,34,1292,3.4,24.2,18.0,63.6,1018.8
2026-08-22T09:31:57.592000+00:00,11348,0,62,1292,3.6,23.7,17.8,63.3,1018.9
2026-08-22T09:32:57.601000+00:00,11348,1,77,1292,3.1,23.8,17.7,64.5,1018.7
2026-08-22T09:33:57.586000+00:00,11348,0,7,1292,4.3,23.4,17.6,64.3,1018.8
2026-08-22T09:34:57.602000+00:00,11348,0,22,1292,3.5,23.6,17.5,64.6,1018.9
2026-08-22T09:35:57.601000+00:00,11348,1,31,1292,2.2,23.2,17.5,64.6,1018.8
2026-08-22T09:36:57.603000+00:00,11348,0,43,1292,2.8,23.5,17.4,64.1,1018.9
2026-08-22T09:37:57.604000+00:00,11348,0,60,1292,1.4,23.2,17.3,63.8,1018.8
2026-08-22T09:38:57.612000+00:00,11348,0,19,1292,2.5,23.4,17.3,63.9,1018.9
2026-08-22T09:39:57.596000+00:00,11348,0,44,1292,2.2,23.5,17.4,64.0,1018.9
2026-08-22T09:40:57.615000+00:00,11348,0,64,1292,2.2,23.6,17.4,63.0,1019.0
2026-08-22T09:41:57.605000+00:00,11348,0,41,1292,2.8,23.4,17.5,62.4,1018.8
2026-08-22T09:42:57.601000+00:00,11348,0,36,1292,3.1,22.9,17.6,62.4,1018.9
2026-08-22T09:43:57.622000+00:00,11348,0,25,1292,2.2,23.1,17.6,61.1,1018.9
2026-08-22T09:44:57.642000+00:00,11348,0,35,1292,2.5,23.0,17.6,60.9,1018.9
2026-08-22T09:45:57.633000+00:00,11348,0,49,1292,2.8,23.4,17.6,60.8,1019.0
2026-08-22T09:46:57.636000+00:00,11348,0,33,1292,2.1,23.4,17.5,60.2,1019.0
2026-08-22T09:47:57.643000+00:00,11348,0,65,1292,2.6,23.6,17.5,61.0,1019.0
2026-08-22T09:48:57.639000+00:00,11348,0,54,1292,2.1,23.9,17.6,61.9,1018.9
2026-08-22T09:49:57.649000+00:00,11348,0,43,1292,3.2,24.3,17.6,62.7,1019.0
2026-08-22T09:50:57.650000+00:00,11348,0,62,1292,2.2,24.1,17.7,63.8,1018.9
2026-08-22T09:51:57.666000+00:00,11348,0,18,1292,1.3,23.9,17.7,64.8,1019.0
2026-08-22T09:52:57.648000+00:00,11348,0,37,1292,2.1,24.2,17.7,63.9,1019.0
2026-08-22T09:53:57.660000+00:00,11348,0,43,1292,1.8,24.6,17.7,62.9,1018.9
2026-08-22T09:54:57.668000+00:00,11348,0,38,1292,4.1,25.3,17.6,63.5,1019.0
2026-08-22T09:55:57.677000+00:00,11348,0,28,1292,3.6,25.0,17.7,63.1,1019.0
2026-08-22T09:56:57.692000+00:00,11348,0,52,1292,2.7,24.8,17.8,62.5,1019.0
2026-08-22T09:57:57.699000+00:00,11348,1,2,1292,3.1,24.3,17.8,60.2,1019.1
2026-08-22T09:58:57.698000+00:00,11348,0,44,1292,3.1,24.6,17.8,59.4,1019.1
2026-08-22T09:59:57.693000+00:00,11348,0,35,1292,2.9,24.8,17.8,59.9,1019.0
