date,session_key,position,driver_number,meeting_key
2026-09-04T10:17:40.387000+00:00,11354,1,1,1293
2026-09-04T10:17:40.387000+00:00,11354,2,5,1293
2026-09-04T10:17:40.387000+00:00,11354,3,12,1293
2026-09-04T10:17:40.387000+00:00,11354,4,14,1293
2026-09-04T10:17:40.387000+00:00,11354,5,16,1293
2026-09-04T10:17:40.387000+00:00,11354,6,18,1293
2026-09-04T10:17:40.387000+00:00,11354,7,22,1293
2026-09-04T10:17:40.387000+00:00,11354,8,25,1293
2026-09-04T10:17:40.387000+00:00,11354,9,27,1293
2026-09-04T10:17:40.387000+00:00,11354,10,30,1293
2026-09-04T10:17:40.387000+00:00,11354,11,31,1293
2026-09-04T10:17:40.387000+00:00,11354,12,36,1293
2026-09-04T10:17:40.387000+00:00,11354,13,41,1293
2026-09-04T10:17:40.387000+00:00,11354,14,43,1293
2026-09-04T10:17:40.387000+00:00,11354,15,44,1293
2026-09-04T10:17:40.387000+00:00,11354,16,46,1293
2026-09-04T10:17:40.387000+00:00,11354,17,55,1293
2026-09-04T10:17:40.387000+00:00,11354,18,61,1293
2026-09-04T10:17:40.387000+00:00,11354,19,63,1293
2026-09-04T10:17:40.387000+00:00,11354,20,77,1293
2026-09-04T10:17:40.387000+00:00,11354,21,81,1293
2026-09-04T10:17:40.387000+00:00,11354,22,87,1293
2026-09-04T10:30:08.158000+00:00,11354,2,1,1293
2026-09-04T10:30:08.158000+00:00,11354,3,5,1293
2026-09-04T10:30:08.158000+00:00,11354,4,12,1293
2026-09-04T10:30:08.158000+00:00,11354,5,14,1293
2026-09-04T10:30:08.158000+00:00,11354,6,16,1293
2026-09-04T10:30:08.158000+00:00,11354,7,18,1293
2026-09-04T10:30:08.158000+00:00,11354,8,22,1293
2026-09-04T10:30:08.158000+00:00,11354,9,25,1293
2026-09-04T10:30:08.158000+00:00,11354,10,27,1293
2026-09-04T10:30:08.158000+00:00,11354,11,30,1293
2026-09-04T10:30:08.158000+00:00,11354,12,31,1293
2026-09-04T10:30:08.158000+00:00,11354,1,36,1293
2026-09-04T10:30:11.021000+00:00,11354,3,1,1293
2026-09-04T10:30:11.021000+00:00,11354,4,5,1293
2026-09-04T10:30:11.021000+00:00,11354,5,12,1293
2026-09-04T10:30:11.021000+00:00,11354,6,14,1293
2026-09-04T10:30:11.021000+00:00,11354,7,16,1293
2026-09-04T10:30:11.021000+00:00,11354,8,18,1293
2026-09-04T10:30:11.021000+00:00,11354,9,22,1293
2026-09-04T10:30:11.021000+00:00,11354,2,25,1293
2026-09-04T10:30:16.391000+00:00,11354,4,1,1293
2026-09-04T10:30:16.391000+00:00,11354,5,5,1293
2026-09-04T10:30:16.391000+00:00,11354,6,12,1293
2026-09-04T10:30:16.391000+00:00,11354,7,14,1293
2026-09-04T10:30:16.391000+00:00,11354,8,16,1293
2026-09-04T10:30:16.391000+00:00,11354,9,18,1293
