date,session_key,pressure,air_temperature,track_temperature,wind_direction,meeting_key,wind_speed,rainfall,humidity
2026-09-04T10:17:40.840000+00:00,11354,998.5,30.2,48.7,183,1293,1.0,0,41.8
2026-09-04T10:18:40.851000+00:00,11354,998.4,30.4,48.0,140,1293,1.2,0,41.7
2026-09-04T10:19:40.841000+00:00,11354,998.3,30.4,47.1,302,1293,0.8,0,41.3
2026-09-04T10:20:40.841000+00:00,11354,998.4,30.3,49.0,172,1293,0.9,0,41.8
2026-09-04T10:21:40.841000+00:00,11354,998.3,30.4,49.3,190,1293,0.5,0,41.7
2026-09-04T10:22:40.835000+00:00,11354,998.4,30.5,48.3,216,1293,1.3,0,41.2
2026-09-04T10:23:40.847000+00:00,11354,998.4,30.5,49.5,181,1293,1.2,0,41.6
2026-09-04T10:24:40.840000+00:00,11354,998.3,30.5,49.1,134,1293,0.9,0,41.4
2026-09-04T10:25:40.837000+00:00,11354,998.3,30.6,49.6,186,1293,0.6,0,41.2
2026-09-04T10:26:40.852000+00:00,11354,998.4,30.5,49.5,120,1293,0.9,0,41.2
2026-09-04T10:27:40.851000+00:00,11354,998.5,30.4,49.5,172,1293,1.1,0,40.5
2026-09-04T10:28:40.852000+00:00,11354,998.4,30.4,49.9,130,1293,0.7,0,39.9
2026-09-04T10:29:40.891000+00:00,11354,998.4,30.3,50.3,185,1293,0.9,0,39.5
2026-09-04T10:30:40.895000+00:00,11354,998.3,30.4,49.6,129,1293,0.8,0,39.1
2026-09-04T10:31:40.901000+00:00,11354,998.3,30.4,50.2,152,1293,0.6,0,39.6
2026-09-04T10:32:40.904000+00:00,11354,998.3,30.4,49.5,149,1293,1.0,0,39.1
2026-09-04T10:33:40.920000+00:00,11354,998.3,30.4,50.4,0,1293,0.0,0,39.4
2026-09-04T10:34:40.934000+00:00,11354,998.3,30.4,50.2,152,1293,1.9,0,40.0
2026-09-04T10:35:40.959000+00:00,11354,998.3,30.5,50.3,190,1293,1.5,0,39.5
2026-09-04T10:36:40.956000+00:00,11354,998.3,30.5,50.3,171,1293,0.6,0,39.5
2026-09-04T10:37:40.971000+00:00,11354,998.2,30.6,50.4,188,1293,1.2,0,39.4
2026-09-04T10:38:40.957000+00:00,11354,998.2,30.6,50.7,194,1293,2.2,0,38.9
2026-09-04T10:39:40.985000+00:00,11354,998.2,30.6,50.5,171,1293,1.8,0,38.8
2026-09-04T10:40:40.995000+00:00,11354,998.2,30.6,50.6,193,1293,2.3,0,38.8
2026-09-04T10:41:40.991000+00:00,11354,998.3,30.7,50.3,191,1293,1.4,0,38.9
2026-09-04T10:42:40.996000+00:00,11354,998.1,30.7,50.1,173,1293,1.3,0,39.4
2026-09-04T10:43:40.982000+00:00,11354,998.2,30.7,50.3,206,1293,2.0,0,39.6
