date,session_key,meeting_key,driver_number,lane_duration,lap_number,stop_duration,pit_duration
2026-09-06T13:39:08.309000+00:00,11361,1293,63,1846.2,3,,1846.2
2026-09-06T13:39:11.083000+00:00,11361,1293,10,1844.6,3,,1844.6
2026-09-06T13:39:12.984000+00:00,11361,1293,3,1844.1,3,,1844.1
2026-09-06T13:39:16.440000+00:00,11361,1293,43,1844.9,3,,1844.9
2026-09-06T13:39:19.148000+00:00,11361,1293,81,1840.4,3,,1840.4
2026-09-06T13:39:21.708000+00:00,11361,1293,1,1840.7,3,,1840.7
2026-09-06T13:39:25.141000+00:00,11361,1293,41,1842.6,3,,1842.6
2026-09-06T13:39:29.625000+00:00,11361,1293,44,1845.2,3,,1845.2
2026-09-06T13:39:31.672000+00:00,11361,1293,87,1843.4,3,,1843.4
2026-09-06T13:39:33.156000+00:00,11361,1293,31,1842.6,3,,1842.6
2026-09-06T13:39:35.270000+00:00,11361,1293,5,1842.7,3,,1842.7
2026-09-06T13:39:36.387000+00:00,11361,1293,12,1842.6,3,,1842.6
2026-09-06T13:39:39.120000+00:00,11361,1293,27,1844.1,3,,1844.1
2026-09-06T13:39:41.544000+00:00,11361,1293,22,1840.0,3,,1840.0
2026-09-06T13:39:45.666000+00:00,11361,1293,30,1841.5,3,,1841.5
2026-09-06T13:39:48.369000+00:00,11361,1293,55,1842.7,3,,1842.7
2026-09-06T13:39:51.666000+00:00,11361,1293,11,1842.5,3,,1842.5
2026-09-06T13:39:53.306000+00:00,11361,1293,23,1842.5,3,,1842.5
2026-09-06T13:39:54.885000+00:00,11361,1293,77,1841.8,3,,1841.8
2026-09-06T13:39:57.525000+00:00,11361,1293,18,1842.0,3,,1842.0
2026-09-06T13:40:00.041000+00:00,11361,1293,14,1839.4,3,,1839.4
2026-09-06T13:56:37.202000+00:00,11361,1293,30,31.1,12,,31.1
2026-09-06T14:18:20.100000+00:00,11361,1293,27,24.2,27,,24.2
2026-09-06T14:18:24.872000+00:00,11361,1293,55,24.5,27,,24.5
2026-09-06T14:18:27.243000+00:00,11361,1293,31,27.2,27,,27.2
2026-09-06T14:19:05.854000+00:00,11361,1293,11,28.4,27,,28.4
2026-09-06T14:19:15.462000+00:00,11361,1293,77,35.2,27,,35.2
2026-09-06T14:19:27.815000+00:00,11361,1293,12,24.9,28,,24.9
2026-09-06T14:19:29.734000+00:00,11361,1293,3,24.9,28,,24.9
2026-09-06T14:46:26.941000+00:00,11361,1293,23,26.3,46,,26.3
