meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1294,11362,1,11,1,1,MEDIUM,0
1294,11362,1,87,1,3,MEDIUM,0
1294,11362,1,5,1,6,HARD,0
1294,11362,1,31,1,3,MEDIUM,0
1294,11362,1,10,1,1,MEDIUM,0
1294,11362,1,43,1,1,MEDIUM,0
1294,11362,2,11,2,7,MEDIUM,0
1294,11362,2,87,4,7,MEDIUM,0
1294,11362,1,22,1,10,MEDIUM,0
1294,11362,1,77,1,11,MEDIUM,0
1294,11362,2,31,4,7,MEDIUM,0
1294,11362,1,14,1,10,MEDIUM,0
1294,11362,1,44,1,11,MEDIUM,0
1294,11362,1,30,1,8,MEDIUM,0
1294,11362,1,3,1,8,MEDIUM,0
1294,11362,3,87,8,10,MEDIUM,0
1294,11362,1,63,1,11,MEDIUM,0
1294,11362,1,12,1,11,MEDIUM,0
1294,11362,1,81,1,9,MEDIUM,0
1294,11362,1,1,1,9,MEDIUM,0
1294,11362,1,41,1,12,MEDIUM,0
1294,11362,2,30,9,11,SOFT,0
1294,11362,2,22,11,14,MEDIUM,0
1294,11362,3,31,8,12,MEDIUM,0
1294,11362,3,22,15,16,SOFT,0
1294,11362,1,18,1,12,MEDIUM,0
1294,11362,2,81,10,12,MEDIUM,0
1294,11362,2,12,12,14,SOFT,0
1294,11362,1,27,1,10,MEDIUM,0
1294,11362,2,41,13,15,SOFT,0
1294,11362,3,11,8,14,MEDIUM,0
1294,11362,1,55,1,17,MEDIUM,0
1294,11362,2,10,2,10,MEDIUM,0
1294,11362,1,16,1,14,MEDIUM,0
1294,11362,1,23,1,15,MEDIUM,0
1294,11362,2,44,12,15,MEDIUM,0
1294,11362,2,1,10,13,MEDIUM,0
1294,11362,2,43,2,12,MEDIUM,0
1294,11362,2,77,12,14,MEDIUM,0
1294,11362,2,27,11,13,SOFT,0
1294,11362,2,5,7,16,HARD,0
1294,11362,3,12,15,17,SOFT,0
1294,11362,4,87,11,13,MEDIUM,0
1294,11362,2,14,11,15,MEDIUM,0
1294,11362,2,18,13,15,MEDIUM,0
1294,11362,3,30,12,14,SOFT,0
1294,11362,3,41,16,18,SOFT,0
1294,11362,4,31,13,15,MEDIUM,0
1294,11362,2,3,9,15,MEDIUM,0
1294,11362,4,11,15,17,SOFT,0
1294,11362,3,10,11,13,MEDIUM,0
1294,11362,3,43,13,15,MEDIUM,0
1294,11362,2,16,15,18,SOFT,0
1294,11362,3,27,14,16,SOFT,0
1294,11362,3,5,17,19,SOFT,0
1294,11362,5,31,16,18,SOFT,0
1294,11362,5,87,14,17,SOFT,0
1294,11362,2,23,16,18,SOFT,0
1294,11362,3,3,16,18,SOFT,0
1294,11362,4,41,19,21,SOFT,0
1294,11362,2,63,12,21,SOFT,0
1294,11362,4,5,20,22,SOFT,0
1294,11362,4,12,18,22,SOFT,0
1294,11362,4,30,15,23,SOFT,0
1294,11362,6,31,19,21,SOFT,0
1294,11362,6,87,18,20,SOFT,0
1294,11362,3,81,13,18,SOFT,0
1294,11362,3,1,14,24,SOFT,0
1294,11362,2,55,18,27,SOFT,0
1294,11362,3,77,15,25,SOFT,0
1294,11362,5,5,23,27,SOFT,0
1294,11362,5,11,18,26,SOFT,0
1294,11362,3,16,19,27,SOFT,0
1294,11362,4,43,16,24,SOFT,0
1294,11362,5,30,24,26,MEDIUM,0
1294,11362,5,41,22,28,SOFT,0
1294,11362,7,87,21,24,SOFT,0
1294,11362,7,31,22,25,SOFT,0
1294,11362,3,23,19,25,SOFT,0
1294,11362,4,1,25,27,MEDIUM,0
1294,11362,4,10,14,23,SOFT,0
1294,11362,4,27,17,26,SOFT,0
1294,11362,4,3,19,25,SOFT,0
1294,11362,3,63,22,28,MEDIUM,0
1294,11362,3,55,28,30,MEDIUM,0
1294,11362,5,12,23,27,MEDIUM,0
1294,11362,3,44,16,27,SOFT,0
1294,11362,3,18,16,26,SOFT,0
1294,11362,3,14,16,27,SOFT,0
1294,11362,4,81,19,22,SOFT,0
