meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1294,11364,2026-09-12T10:26:14+00:00,,,Flag,CLEAR,Sector,16,,CLEAR IN TRACK SECTOR 16
1294,11364,2026-09-12T10:30:00.074000+00:00,,,SessionStatus,,,,,SESSION STARTED
1294,11364,2026-09-12T10:30:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1294,11364,2026-09-12T10:40:41+00:00,,,Other,,,,,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 17 LAP 2 12:39:02
1294,11364,2026-09-12T10:43:25+00:00,,,Other,,,,,TURN 1 INCIDENT INVOLVING CAR 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS (12:41:13)
1294,11364,2026-09-12T10:43:33+00:00,,,Other,,,,,CAR 5 (BOR) TIME 1:53.561 DELETED - TRACK LIMITS AT TURN 1 LAP 5 12:41:13
1294,11364,2026-09-12T10:45:09+00:00,,,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 5 (BOR) REVIEWED NO FURTHER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS (12:41:13)
1294,11364,2026-09-12T10:45:53+00:00,,,Other,,,,,TURN 1 INCIDENT INVOLVING CAR 10 (GAS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS (12:45:03)
1294,11364,2026-09-12T10:46:18+00:00,,,Other,,,,,CAR 1 (NOR) TIME 1:57.686 DELETED - TRACK LIMITS AT TURN 5 LAP 3 12:44:16
1294,11364,2026-09-12T10:46:21+00:00,,,Flag,DOUBLE YELLOW,Sector,8,,DOUBLE YELLOW IN TRACK SECTOR 8
1294,11364,2026-09-12T10:46:21+00:00,,,Flag,YELLOW,Sector,7,,YELLOW IN TRACK SECTOR 7
1294,11364,2026-09-12T10:46:29+00:00,,,Flag,CLEAR,Sector,7,,CLEAR IN TRACK SECTOR 7
