date,session_key,pit_duration,stop_duration,lap_number,driver_number,meeting_key,lane_duration
2026-09-13T13:28:01.583000+00:00,11369,31.8,,14,12,1294,31.8
2026-09-13T13:28:08.785000+00:00,11369,31.0,,14,3,1294,31.0
2026-09-13T13:28:15.784000+00:00,11369,30.7,,14,63,1294,30.7
2026-09-13T13:28:55.189000+00:00,11369,31.6,,14,43,1294,31.6
2026-09-13T13:28:57.517000+00:00,11369,31.8,,14,41,1294,31.8
2026-09-13T13:28:59.746000+00:00,11369,31.0,,14,27,1294,31.0
2026-09-13T13:29:00.283000+00:00,11369,32.1,,14,31,1294,32.1
2026-09-13T13:29:18.783000+00:00,11369,31.1,,14,23,1294,31.1
2026-09-13T13:29:27.612000+00:00,11369,32.2,,14,11,1294,32.2
2026-09-13T13:29:42.803000+00:00,11369,43.8,,14,14,1294,43.8
2026-09-13T13:30:20.779000+00:00,11369,35.1,,15,1,1294,35.1
2026-09-13T13:45:16.791000+00:00,11369,46.3,,23,55,1294,46.3
2026-09-13T13:52:04.780000+00:00,11369,30.6,,28,63,1294,30.6
2026-09-13T13:55:49.981000+00:00,11369,31.7,,29,77,1294,31.7
2026-09-13T13:59:28.402000+00:00,11369,31.4,,31,55,1294,31.4
2026-09-13T14:01:39.780000+00:00,11369,33.3,,33,87,1294,33.3
2026-09-13T14:06:32.287000+00:00,11369,31.4,,36,22,1294,31.4
2026-09-13T14:09:02.342000+00:00,11369,32.0,,37,14,1294,32.0
2026-09-13T14:15:33.448000+00:00,11369,31.4,,42,81,1294,31.4
2026-09-13T14:18:43.123000+00:00,11369,31.4,,43,87,1294,31.4
2026-09-13T14:18:49.122000+00:00,11369,30.9,,44,30,1294,30.9
2026-09-13T14:20:21.910000+00:00,11369,31.6,,43,77,1294,31.6
2026-09-13T14:24:16.435000+00:00,11369,30.8,,47,5,1294,30.8
2026-09-13T14:24:31.351000+00:00,11369,31.3,,48,16,1294,31.3
2026-09-13T14:37:18.968000+00:00,11369,31.4,,55,10,1294,31.4
