date,session_key,pit_duration,lane_duration,driver_number,stop_duration,lap_number,meeting_key
2026-09-26T11:41:11.652000+00:00,11377,20.6,20.6,55,,20,1295
2026-09-26T11:53:06.179000+00:00,11377,23.0,23.0,77,,26,1295
2026-09-26T11:58:50.649000+00:00,11377,20.7,20.7,10,,30,1295
2026-09-26T11:58:55.864000+00:00,11377,20.7,20.7,12,,30,1295
2026-09-26T11:59:06.752000+00:00,11377,20.8,20.8,1,,30,1295
2026-09-26T11:59:09.504000+00:00,11377,20.7,20.7,43,,30,1295
2026-09-26T11:59:16.280000+00:00,11377,21.2,21.2,87,,30,1295
2026-09-26T11:59:26.705000+00:00,11377,21.4,21.4,31,,30,1295
2026-09-26T11:59:36.037000+00:00,11377,22.1,22.1,41,,30,1295
2026-09-26T11:59:45.195000+00:00,11377,20.3,20.3,5,,30,1295
2026-09-26T11:59:58.664000+00:00,11377,22.2,22.2,11,,30,1295
2026-09-26T12:00:13.811000+00:00,11377,21.4,21.4,55,,30,1295
2026-09-26T12:00:33.786000+00:00,11377,20.6,20.6,63,,31,1295
2026-09-26T12:00:49.512000+00:00,11377,20.5,20.5,81,,31,1295
2026-09-26T12:00:50.358000+00:00,11377,20.8,20.8,3,,31,1295
2026-09-26T12:00:57.311000+00:00,11377,21.9,21.9,6,,31,1295
2026-09-26T12:01:00.058000+00:00,11377,22.0,22.0,16,,31,1295
2026-09-26T12:01:12.165000+00:00,11377,22.1,22.1,44,,31,1295
2026-09-26T12:01:54.112000+00:00,11377,21.7,21.7,30,,31,1295
2026-09-26T12:04:24.115000+00:00,11377,20.1,20.1,27,,32,1295
2026-09-26T12:13:48.831000+00:00,11377,15.1,15.1,63,,36,1295
2026-09-26T12:13:50.222000+00:00,11377,15.2,15.2,3,,36,1295
2026-09-26T12:13:54.503000+00:00,11377,15.1,15.1,81,,36,1295
2026-09-26T12:13:56.937000+00:00,11377,15.2,15.2,6,,36,1295
2026-09-26T12:13:59.717000+00:00,11377,15.5,15.5,16,,36,1295
2026-09-26T12:14:01.526000+00:00,11377,16.5,16.5,44,,36,1295
2026-09-26T12:14:02.895000+00:00,11377,16.3,16.3,12,,36,1295
2026-09-26T12:14:03.812000+00:00,11377,16.1,16.1,31,,36,1295
2026-09-26T12:14:04.916000+00:00,11377,16.3,16.3,87,,36,1295
2026-09-26T12:14:05.730000+00:00,11377,16.0,16.0,41,,36,1295
2026-09-26T12:14:06.784000+00:00,11377,15.3,15.3,27,,36,1295
2026-09-26T12:14:08.510000+00:00,11377,15.9,15.9,55,,36,1295
2026-09-26T12:14:09.346000+00:00,11377,15.2,15.2,5,,36,1295
2026-09-26T12:14:10.872000+00:00,11377,15.3,15.3,11,,36,1295
2026-09-26T12:14:21.240000+00:00,11377,23.6,23.6,30,,36,1295
2026-09-26T12:14:49.585000+00:00,11377,15.0,15.0,77,,36,1295
